"id","categoryId","name","price","description","image","gallery"
238,1,"maleta para gato o perro",120000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA6.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA6.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA6.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA6.jpg""]"
239,1,"maleta para gato o perro",120000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA7.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA7.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA7.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA7.jpg""]"
240,1,"maleta para gato o perro",120000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA8.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA8.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA8.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA8.jpg""]"
241,1,"maleta para gato o perro",120000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA9.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA9.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA9.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaA9.jpg""]"
242,1,"maleta para gato o perro",150000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt1.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt1.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt1.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt1.jpg""]"
243,1,"maleta para gato o perro",150000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt2.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt2.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt2.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt2.jpg""]"
244,1,"maleta para gato o perro",150000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt3.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt3.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt3.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt3.jpg""]"
245,1,"maleta para gato o perro",175000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt01.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt01.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt01.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt01.jpg""]"
246,1,"maleta para gato o perro",175000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt02.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt02.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt02.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt02.jpg""]"
247,1,"maleta para gato o perro",175000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt03.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt03.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt03.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt03.jpg""]"
